"Gen" "PropellantDoesNotIgnite" "PropellantSnuffsOut" "Blowby_projectile" "Blowby_breech" "NotEnoughPressure" "TooMuchPressure" "FailToInitiatePower" "InsufficientBatterySupply" "MotorDamage" "InadequateTorque" "GEUCommandNotRecieved" "CapacitorNotCharged" "CommandSentEarly" "CommandSentLate" "IgnitePropellant" "SealGas" "GeneratePressure" "InitiateInflightPower" "ModifyAttitude" "ArmWarheadFuze" "SendFireCommand" "Launch" "BallisticFlight" "TerminalEffects" "System" "red_system" "System" "red_system" "des"
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 1 1 0 0.276654 0.508121 0.276654
