"Gen" "PropellantDoesNotIgnite" "PropellantSnuffsOut" "Blowby_projectile" "Blowby_breech" "NotEnoughPressure" "TooMuchPressure" "FailToInitiatePower" "InsufficientBatterySupply" "MotorDamage" "InadequateTorque" "GEUCommandNotRecieved" "CapacitorNotCharged" "CommandSentEarly" "CommandSentLate" "IgnitePropellant" "SealGas" "GeneratePressure" "InitiateInflightPower" "ModifyAttitude" "ArmWarheadFuze" "SendFireCommand" "Launch" "BallisticFlight" "TerminalEffects" "System" "red_system" "System" "red_system" "des"
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 0 3 1 0 0 0 0 0.067984 0.425186 0.067984
18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 0 3 1 0 0 0 0 0.067984 0.425186 0.067984
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 0 3 1 0 0 0 0 0.067984 0.425186 0.067984
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 1 1 2 1 2 0 0 0 0.068493 0.42182 0.068493
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 0 2 1 2 0 0 0 0.068532 0.430568 0.068532
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0 2 0 0 0.068826 0.430294 0.068826
