"Gen" "PropellantDoesNotIgnite" "PropellantSnuffsOut" "Blowby_projectile" "Blowby_breech" "NotEnoughPressure" "TooMuchPressure" "FailToInitiatePower" "InsufficientBatterySupply" "MotorDamage" "InadequateTorque" "GEUCommandNotRecieved" "CapacitorNotCharged" "CommandSentEarly" "CommandSentLate" "IgnitePropellant" "SealGas" "GeneratePressure" "InitiateInflightPower" "ModifyAttitude" "ArmWarheadFuze" "SendFireCommand" "Launch" "BallisticFlight" "TerminalEffects" "System" "red_system" "System" "red_system" "des"
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 1 0 4 0 0 0 0 0 0.092544 0.443268 0.092544
